,Price
1767,10323.0
1768,11337.0
1769,11752.0
1770,11141.0
1771,11383.0
1772,11297.0
1773,11763.0
1774,12497.0
1775,12645.0
1776,11589.0
1777,11583.0
1778,11424.0
1779,10868.0
1780,10433.0
1781,10364.0
1782,9580.0
1783,10053.0
1784,10469.0
1785,10672.0
1786,10579.0
1787,10458.0
1788,10082.0
1789,9714.0
1790,10028.0
1791,9782.0
1792,9734.0
1793,9499.0
1794,9556.0
1795,9547.0
1796,9850.0
1797,10083.0
1798,10482.0
1799,10790.0
1800,10814.0
1801,11680.0
1802,11772.0
1803,11726.0
1804,11811.0
1805,11837.0
1806,11602.0
1807,11403.0
1808,11404.0
1809,11161.0
1810,10494.0
1811,10035.0
1812,10245.0
1813,10309.0
1814,10295.0
1815,10614.0
1816,10758.0
1817,10219.0
1818,10058.0
1819,10266.0
1820,10156.0
1821,10104.0
1822,10349.0
1823,10191.0
1824,10085.0
1825,9533.0
1826,9556.0
1827,9608.0
1828,9636.0
1829,9934.0
1830,10517.0
1831,10566.0
1832,10575.0
1833,10655.0
1834,10426.0
1835,10467.0
1836,10319.0
1837,10243.0
1838,10082.0
1839,10237.0
1840,10328.0
1841,10351.0
1842,10334.0
1843,10287.0
1844,10237.0
1845,10211.0
1846,10007.0
1847,10192.0
1848,10058.0
1849,10005.0
1850,9909.0
1851,9469.0
1852,8465.0
1853,8260.0
1854,8054.0
1855,8171.0
1856,8092.0
1857,8081.0
1858,8365.0
1859,8265.0
1860,8255.0
1861,8173.0
1862,8129.0
1863,8016.0
1864,8068.0
1865,8214.0
1866,8339.0
1867,8556.0
1868,8404.0
1869,8340.0
1870,8364.0
1871,8319.0
1872,8274.0
1873,8081.0
1874,8057.0
1875,7980.0
1876,7979.0
1877,8030.0
1878,8235.0
1879,8209.0
1880,7748.0
1881,7456.0
1882,7873.0
1883,9321.0
1884,9407.0
1885,9466.0
1886,9388.0
1887,9218.0
1888,9196.0
1889,9176.0
1890,9292.0
1891,9245.0
1892,9285.0
1893,9357.0
1894,9362.0
1895,9274.0
1896,9015.0
1897,8833.0
1898,8922.0
1899,8830.0
1900,8776.0
1901,8797.0
1902,8728.0
1903,8601.0
1904,8524.0
1905,8584.0
1906,8460.0
1907,8204.0
1908,8176.0
1909,7924.0
